epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
141,6034.83,0.59797,0.39327,0.9549,0.95145,0.91553,0.966,0.85866,0.49033,0.28626,0.88548,0.006535,0.006535,0.006535
142,6127.26,0.57944,0.38032,0.94439,0.95127,0.91404,0.96574,0.8587,0.48928,0.28505,0.88514,0.00651025,0.00651025,0.00651025
143,6276.98,0.57729,0.37864,0.94314,0.95108,0.91497,0.96607,0.85887,0.48912,0.28419,0.88546,0.0064855,0.0064855,0.0064855
144,6370.19,0.58838,0.38244,0.94746,0.95063,0.91622,0.96658,0.859,0.48908,0.28323,0.88588,0.00646075,0.00646075,0.00646075
145,6462.92,0.58647,0.38566,0.94952,0.95009,0.91632,0.96664,0.85906,0.48944,0.28331,0.88607,0.006436,0.006436,0.006436
146,6610.16,0.58422,0.38078,0.94936,0.94838,0.9174,0.9662,0.85883,0.48898,0.28339,0.88583,0.00641125,0.00641125,0.00641125
147,6772.29,0.6008,0.3898,0.95266,0.94978,0.91757,0.96625,0.85882,0.48811,0.28298,0.88524,0.0063865,0.0063865,0.0063865
148,6897.29,0.5722,0.37437,0.94326,0.95019,0.91891,0.96643,0.85895,0.48827,0.28249,0.88543,0.00636175,0.00636175,0.00636175
149,6991.97,0.57578,0.37597,0.94145,0.94999,0.91708,0.96613,0.85906,0.48796,0.28243,0.88543,0.006337,0.006337,0.006337
150,7084.34,0.57745,0.37896,0.94571,0.9505,0.91708,0.9663,0.85948,0.48804,0.28272,0.8857,0.00631225,0.00631225,0.00631225
151,7177.67,0.57678,0.37464,0.94268,0.94937,0.91699,0.96652,0.85967,0.48845,0.28318,0.88607,0.0062875,0.0062875,0.0062875
152,7270.78,0.57726,0.3755,0.94591,0.94911,0.91715,0.96648,0.85957,0.48876,0.28226,0.88632,0.00626275,0.00626275,0.00626275
153,7376.04,0.57295,0.37415,0.94135,0.94884,0.91658,0.9661,0.85956,0.48823,0.28204,0.88593,0.006238,0.006238,0.006238
154,7538.47,0.58349,0.37926,0.94686,0.94958,0.91703,0.96636,0.86003,0.48783,0.28256,0.88554,0.00621325,0.00621325,0.00621325
155,7687.76,0.57853,0.37659,0.9456,0.94977,0.91736,0.96669,0.85993,0.488,0.28202,0.88588,0.0061885,0.0061885,0.0061885
156,7781.33,0.56982,0.37204,0.94108,0.94821,0.91798,0.96598,0.85968,0.48792,0.28128,0.88583,0.00616375,0.00616375,0.00616375
157,7873.47,0.56641,0.37006,0.94083,0.9493,0.91798,0.96578,0.85967,0.48781,0.28065,0.88594,0.006139,0.006139,0.006139
158,7966.84,0.57848,0.37602,0.9463,0.95011,0.91746,0.96636,0.85985,0.48758,0.2807,0.88603,0.00611425,0.00611425,0.00611425
159,8059.83,0.5622,0.36578,0.939,0.94948,0.91894,0.96633,0.86042,0.48761,0.28066,0.88623,0.0060895,0.0060895,0.0060895
160,8152.43,0.5841,0.3769,0.94723,0.94959,0.91944,0.96606,0.85995,0.48755,0.28028,0.88626,0.00606475,0.00606475,0.00606475
161,8282.51,0.57089,0.37181,0.94403,0.94884,0.91954,0.96602,0.86075,0.48723,0.28054,0.8864,0.00604,0.00604,0.00604
162,8442.12,0.56729,0.37472,0.94142,0.9486,0.91933,0.96557,0.86035,0.48727,0.28138,0.88652,0.00601525,0.00601525,0.00601525
163,8571.31,0.57043,0.37197,0.94225,0.94924,0.91881,0.96566,0.8603,0.48725,0.28052,0.8866,0.0059905,0.0059905,0.0059905
164,8663.44,0.57137,0.37166,0.94008,0.95017,0.91788,0.96603,0.86073,0.48709,0.28044,0.8864,0.00596575,0.00596575,0.00596575
165,8755.88,0.57397,0.37215,0.94543,0.94933,0.91805,0.96583,0.86086,0.48659,0.28022,0.88646,0.005941,0.005941,0.005941
166,8848.84,0.56047,0.36257,0.93466,0.95062,0.91809,0.9657,0.86086,0.48645,0.27974,0.88636,0.00591625,0.00591625,0.00591625
167,8941.6,0.57105,0.36941,0.94099,0.95187,0.91777,0.966,0.86099,0.48651,0.27978,0.88637,0.0058915,0.0058915,0.0058915
168,9035.11,0.56086,0.36375,0.93831,0.95133,0.91788,0.9658,0.86073,0.48653,0.28004,0.88649,0.00586675,0.00586675,0.00586675
169,9128.87,0.56296,0.3663,0.93506,0.95091,0.91899,0.96594,0.86074,0.48656,0.28073,0.8866,0.005842,0.005842,0.005842
170,9280.95,0.57267,0.368,0.94153,0.95071,0.91777,0.96629,0.86089,0.48676,0.28067,0.88672,0.00581725,0.00581725,0.00581725
171,9436.51,0.56599,0.37141,0.93898,0.95109,0.91648,0.96613,0.86099,0.4867,0.28049,0.88651,0.0057925,0.0057925,0.0057925
172,9543.71,0.56392,0.36387,0.93783,0.95257,0.91549,0.96637,0.86103,0.48678,0.28058,0.88657,0.00576775,0.00576775,0.00576775
173,9664.7,0.57341,0.37097,0.9453,0.95187,0.91591,0.9663,0.86114,0.48665,0.28,0.88647,0.005743,0.005743,0.005743
174,9763.29,0.56795,0.36825,0.93959,0.95265,0.91494,0.96626,0.86096,0.48667,0.28069,0.88632,0.00571825,0.00571825,0.00571825
175,9856.52,0.56093,0.3654,0.93887,0.95215,0.91526,0.96626,0.8607,0.48652,0.27978,0.88627,0.0056935,0.0056935,0.0056935
176,9963.54,0.56779,0.36543,0.93928,0.95248,0.91567,0.96641,0.86093,0.48637,0.27891,0.88613,0.00566875,0.00566875,0.00566875
177,10086.9,0.55433,0.36271,0.93423,0.95239,0.9158,0.9666,0.86084,0.48626,0.27904,0.88606,0.005644,0.005644,0.005644
178,10263.6,0.55675,0.36179,0.9338,0.95239,0.91588,0.96678,0.86086,0.48591,0.27888,0.88599,0.00561925,0.00561925,0.00561925
179,10409.2,0.56883,0.36764,0.94119,0.95231,0.9157,0.96638,0.85993,0.48598,0.27914,0.88619,0.0055945,0.0055945,0.0055945
180,10512.7,0.56265,0.36521,0.93736,0.95158,0.91549,0.96673,0.85994,0.48577,0.2792,0.88603,0.00556975,0.00556975,0.00556975
181,10605.5,0.55262,0.36002,0.93591,0.95143,0.91522,0.96633,0.8607,0.48581,0.27939,0.88597,0.005545,0.005545,0.005545
182,10698.8,0.56055,0.3584,0.93644,0.95123,0.91539,0.9662,0.861,0.48591,0.27911,0.88596,0.00552025,0.00552025,0.00552025
183,10792.8,0.56078,0.36132,0.93769,0.9506,0.91632,0.96618,0.86094,0.4859,0.27899,0.88614,0.0054955,0.0054955,0.0054955
184,10888.3,0.56296,0.36251,0.93827,0.95063,0.9156,0.96616,0.86088,0.48564,0.27862,0.88604,0.00547075,0.00547075,0.00547075
